,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
318,1,1,1,2,1,-1.429986070553747,0.6708217067326878,0,0,0,0,0.0,0.5842559546767729,Academics
319,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,1,0,1,0,0.0,-0.9861951696346355,Academics
320,1,1,1,2,1,0.5510455876974631,-1.4871626661995003,1,0,1,1,0.0,-0.9861951696346355,Academics
321,1,1,1,3,1,1.5415614168230682,-0.7678345418887709,1,0,1,1,0.0,-0.9861951696346355,Academics
323,1,1,1,0,1,-0.43947024142814195,-0.7678345418887709,1,0,1,0,0.0,-0.2009696074789313,Academics
324,1,1,1,2,0,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
325,1,1,1,2,0,-1.429986070553747,-0.04850641757804155,0,0,1,1,0.0,0.5842559546767729,Academics
326,1,1,1,0,1,1.5415614168230682,1.3901498310434173,1,0,1,0,0.0,-0.9861951696346355,Academics
328,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,1,0,0.0,-0.2009696074789313,Academics
329,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,1,0,0.0,-0.9861951696346355,Academics
330,1,1,1,0,1,-0.43947024142814195,-0.04850641757804155,1,0,1,0,0.0,-0.2009696074789313,Academics
332,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,1,1,0.0,-0.2009696074789313,Academics
333,1,1,1,2,0,-0.43947024142814195,-0.7678345418887709,1,0,0,0,0.0,0.5842559546767729,Academics
334,1,1,1,0,1,-1.429986070553747,-0.04850641757804155,1,0,1,1,0.0,0.5842559546767729,Academics
336,1,1,1,3,0,-0.43947024142814195,-0.7678345418887709,0,0,1,0,0.0,-0.9861951696346355,Academics
337,1,1,1,2,0,0.5510455876974631,-0.04850641757804155,1,0,1,0,0.0,-0.9861951696346355,Academics
338,1,1,0,3,1,-0.43947024142814195,-0.04850641757804155,0,0,0,0,0.5,-0.9861951696346355,Academics
339,1,1,1,1,0,-1.429986070553747,-0.7678345418887709,1,0,1,1,0.0,-0.9861951696346355,Academics
340,1,1,1,2,0,1.5415614168230682,-0.04850641757804155,0,0,1,1,0.0,0.5842559546767729,Academics
341,1,1,1,2,1,-0.43947024142814195,-0.04850641757804155,1,1,1,1,0.5,1.3694815168324772,Academics
